"classe_auditoria","arquivo_final","origem_tipo","url_origem","autor_original","licenca_original","uso_derivado","transformacao_ia","ferramenta_modelo","prompt_transformacao","data_transformacao","responsavel_transformacao","evidencia_local_transformacao","status_recomendado","justificativa"
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_011.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:%22Ara%C3%A7ari-castanho%22_-_Pteroglossus_castanotis_01.jpg","DiogoKanouté","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_011.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_012.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:%22abelha-cachorro%22_-_Trigona_spinipes_-_em_flor_de_%22a%C3%A7oita-cavalo-gra%C3%BAdo%22_Luehea_grandiflora_Mart._%26_Zucc._(Malvaceae)_01.jpg","DiogoKanouté","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_012.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_013.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Bot%C3%B5es_florais_de_%22a%C3%A7oita-cavalo-gra%C3%BAdo%22_Luehea_grandiflora_Mart._%26_Zucc._(Malvaceae)_04.jpg","DiogoKanouté","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_013.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_014.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:%22Martim-pescador-pequeno%22_f%C3%AAmea_-_em_vereda_-_Santa_Helena_de_Goi%C3%A1s_01.jpg","DiogoKanouté","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_014.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_015.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:%22chap%C3%A9u-de-couro%22_-_Salvertia_convallariodora_A.St.-Hil._-_Vochysiaceae_01.jpg","Diogo Bueno Kanouté","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_015.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_016.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Anoitecer_nos_Pireneus_(Piren%C3%B3polis,_GO).jpg","Pwoli","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_016.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_017.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Brazilian_Savanna_-_Valley_of_the_Areias_River_Cerrado_-_Vale_do_Rio_Areias_(50836988912).jpg","A. Duarte","CC-BY-SA 2.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_017.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_018.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Brazil_Brasil_-_Tocantins_-_Cavalcante_-_Anf%C3%ADbio_-_Bokermannohyla_pseudopseudis_(9178438917).jpg","A. Duarte","CC-BY-SA 2.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_018.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_019.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Allamanda_angustifolia_Pohl_Polilana_cerrado_Pirenopolis_janeiro_2024_01.jpg","Marcosviniciusrs","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_019.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_020.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Fauna_do_cerrado.jpg","Mariana OA Lima","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_020.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_021.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Flora_do_Cerrado.jpg","Maria Inez Santos","CC-BY-SA 3.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_021.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_022.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Vegeta%C3%A7%C3%A3o_cerrado.jpg","Renato Menezes Caffer","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_022.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_023.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Cerrado_landscape.jpg","Gil df","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_023.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
"B - derivada/editada de fonte licenciada; sem IA generativa","dados/imagens/img_024.png","derivada_editada_deterministica_sem_ia_generativa","https://commons.wikimedia.org/wiki/File:Cachoeira_de_S%C3%A3o_Bento.jpg","Munis Pedro","CC-BY-SA 4.0","permitido; CC-BY-SA exige atribuicao e compartilhamento sob a mesma licenca","nao; processamento deterministico","Python Pillow; scripts/collect_dataset.py; woodcut-v2","nao aplicavel; nenhum modelo generativo ou prompt foi usado","2026-07-10","processo automatizado local; responsavel humano a confirmar","scripts/collect_dataset.py (woodcut-v2); resultados/auditorias/dataset_manifest_2026-07-10.json; metadados PNG de img_024.png","aprovada_validacao_final_2026-07-11","O PNG final passou a validacao final: fonte e licenca registradas, transformacao deterministica declarada, triagem visual aceita e caption revisada humanamente."
